Del;Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
9;9535010;535;10;Bilvärmecentral t.o.m. 2 uttag ≤2,5 mm²;Oavsett underlag;central;0,58;;;;;;;;;
9;9535011;535;11;Bilvärmecentral t.o.m. 2 uttag 4–6 mm²;Oavsett underlag;central;0,69;;;;;;;;;
9;9535012;535;12;Bilvärmecentral t.o.m. 2 uttag 10–16 mm²;Oavsett underlag;central;0,92;;;;;;;;;
9;9536010;536;10;Bilvärmecentral med stolpe – 2 uttag enkelfläns ≤6 mm²;Oavsett underlag;central;0,88;;;;;;;;;
9;9536011;536;11;D:o med stolpe – 2 uttag 10–16 mm²;Oavsett underlag;central;1,08;;;;;;;;;
9;9536012;536;12;D:o med stolpe – dubbelfläns ≤6 mm²;Oavsett underlag;central;0,65;;;;;;;;;
9;9536013;536;13;D:o med stolpe – dubbelfläns 10–16 mm²;Oavsett underlag;central;0,82;;;;;;;;;
9;9538010;538;10;Elradiator ≤5 kg inkl väggstativ t.o.m. 5 inkoppl.;Oavsett underlag;radiator;0,37;;;;;;;;;
9;9538011;538;11;Elradiator ≤5 kg t.o.m. 10 inkoppl.;Oavsett underlag;radiator;0,45;;;;;;;;;
9;9538012;538;12;Elradiator >5–25 kg inkl väggstativ t.o.m. 5 inkoppl.;Oavsett underlag;radiator;0,52;;;;;;;;;
9;9538013;538;13;Elradiator >5–25 kg t.o.m. 10 inkoppl.;Oavsett underlag;radiator;0,6;;;;;;;;;
9;9538014;538;14;Elradiator >25–50 kg inkl väggstativ t.o.m. 5 inkoppl.;Oavsett underlag;radiator;0,82;;;;;;;;;
9;9538015;538;15;Elradiator >25–50 kg t.o.m. 10 inkoppl.;Oavsett underlag;radiator;0,9;;;;;;;;;
9;9538016;538;16;Värmelist/kamrör/annat ≤5 kg på vägg;Oavsett underlag;radiator;0,34;;;;;;;;;
9;9538017;538;17;Värmelist/kamrör/annat >5–25 kg;Oavsett underlag;radiator;0,44;;;;;;;;;
9;9545010;545;10;Spisfläkt inkl trumsats (inkl ev. konsoler);Oavsett underlag;fläkt;0,77;;;;;;;;;
9;9547010;547;10;Infälld bastupanel t.o.m. 2,5 mm²;Inbilad/regelverk = -0 / Lättbetong = -1 / Tegel f. puts = -2 / Trä inbilat = -3;panel;0,84;0,94;1;0,67;;;;;;
9;9547011;547;11;Infälld bastupanel 6 mm²;Inbilad/regelverk = -0 / Lättbetong = -1 / Tegel f. puts = -2 / Trä inbilat = -3;panel;0,91;1,02;1,08;0,74;;;;;;
9;9549010;549;10;Utanpåliggande bastupanel t.o.m. 2,5 mm²;Oavsett underlag;panel;0,75;;;;;;;;;
9;9549011;549;11;Utanpåliggande bastupanel t.o.m. 6 mm²;Oavsett underlag;panel;0,84;;;;;;;;;
9;9551010;551;10;Bastuaggregat – uppsättning exkl. inkoppling;Oavsett underlag;aggregat;0,64;;;;;;;;;
9;9551011;551;11;Bastuaggregat – inkl. inkoppling t.o.m. 2,5 mm²;Oavsett underlag;aggregat;0,85;;;;;;;;;
9;9551012;551;12;Bastuaggregat – inkl. inkoppling t.o.m. 6 mm²;Oavsett underlag;aggregat;0,9;;;;;;;;;
9;9552010;552;10;Strömförsörjning 15–500 VA;Oavsett underlag;apparat;0,45;;;;;;;;;
9;9552011;552;11;Strömförsörjning >500–2000 VA;Oavsett underlag;apparat;0,6;;;;;;;;;
9;9552015;552;15;Strömförsörjning >2000–5000 VA;Oavsett underlag;apparat;1,31;;;;;;;;;
9;9552020;552;20;Strömförsörjning stickproppsansluten t.o.m. 24 VA;Oavsett underlag;apparat;0,21;;;;;;;;;
9;9552021;552;21;Batterieliminator – inkoppla & ijacka i vägguttag;Oavsett underlag;apparat;0,04;;;;;;;;;
9;9568010;568;10;ASEA VDH IP65 – lastbrytare t.o.m. 63 A;Oavsett underlag;brytare;1,25;;;;;;;;;
9;9568011;568;11;ASEA VDH IP65 – lastbrytare t.o.m. 125 A;Oavsett underlag;brytare;1,66;;;;;;;;;
9;9568012;568;12;ASEA VDH IP65 – lastbrytare 250 A;Oavsett underlag;brytare;2,8;;;;;;;;;
9;9568013;568;13;ASEA VDH IP65 – lastbrytare 355 A;Oavsett underlag;brytare;3,63;;;;;;;;;
9;9568014;568;14;ASEA VDH IP65 – lastbrytare 500/800 A;Oavsett underlag;brytare;4,21;;;;;;;;;
9;9569010;569;10;ASEA VDH IP65 – lastbrytare m gängsäkring t.o.m. 63 A;Oavsett underlag;brytare;1,29;;;;;;;;;
9;9569011;569;11;ASEA VDH IP65 – lastbrytare m knivsäkring 125 A / säkringslastbrytare;Oavsett underlag;brytare;1,53;;;;;;;;;
9;9569012;569;12;ASEA VDH IP65 – säkringslastbrytare 250 A;Oavsett underlag;brytare;2,84;;;;;;;;;
9;9570010;570;10;ASEA VDH IP65 – gängsäkringslåda 25 A;Oavsett underlag;låda;1,1;;;;;;;;;
9;9570011;570;11;ASEA VDH IP65 – gängsäkringslåda 63 A;Oavsett underlag;låda;1,27;;;;;;;;;
9;9570012;570;12;ASEA VDH IP65 – knivsäkringslåda 125 A;Oavsett underlag;låda;1,52;;;;;;;;;
9;9570013;570;13;ASEA VDH IP65 – knivsäkringslåda 125 A, 2×3-pol;Oavsett underlag;låda;1,92;;;;;;;;;
9;9570014;570;14;ASEA VDH IP65 – knivsäkringslåda 250 A;Oavsett underlag;låda;2,83;;;;;;;;;
9;9570015;570;15;ASEA VDH IP65 – knivsäkringslåda 355 A;Oavsett underlag;låda;3,65;;;;;;;;;
9;9570016;570;16;ASEA VDH IP65 – knivsäkringslåda 500/800 A;Oavsett underlag;låda;4,26;;;;;;;;;
9;9571010;571;10;Gängsäkringscentraler G II t.o.m. 9 apparater;Oavsett underlag;central;1,85;;;;;;;;;
9;9571011;571;11;G II 10–15 apparater;Oavsett underlag;central;2,39;;;;;;;;;
9;9571012;571;12;G II 16–18 apparater;Oavsett underlag;central;2,59;;;;;;;;;
9;9572010;572;10;Gängsäkringscentraler G III t.o.m. 6 apparater;Oavsett underlag;central;2,07;;;;;;;;;
9;9572011;572;11;G III 7–12 apparater;Oavsett underlag;central;2,77;;;;;;;;;
9;9572012;572;12;G III 13–15 apparater;Oavsett underlag;central;2,83;;;;;;;;;
9;9574010;574;10;Övrig kapsling m strömtransformatorinsats 355/800 A;Oavsett underlag;kapsling;1,89;;;;;;;;;
9;9574011;574;11;Övrig kapsling t.o.m. 360×360 mm;Oavsett underlag;kapsling;0,7;;;;;;;;;
9;9576010;576;10;Uppställa enhet på golv/hylla ≤1,5 m höjd;Vikt: >5–50 kg = -0 / >50–100 = -1 / >100–200 = -2;enhet;0,18;0,41;1,04;;;;;;;
