Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
961;759;5;Kontaktera jack inkl. ijackning – oskärmad;;jack;0,07;;;;;;;;;
962;759;6;Kontaktera jack inkl. ijackning – skärmad;;jack;0,08;;;;;;;;;
963;759;7;Snabbkontakteringsklämma inkl. ijackning – oskärmad;;jack;0,05;;;;;;;;;
964;759;8;Snabbkontakteringsklämma inkl. ijackning – skärmad;;jack;0,06;;;;;;;;;
965;759;9;Underdel på dosa;;u-del;0,02;;;;;;;;;
966;759;10;Kompl.-detaljer (centrumplatta/mont.bricka/blindpropp) typ fig.4;;uttag;0,02;;;;;;;;;
967;759;11;Kompl.-detaljer typ fig.5;;uttag;0,04;;;;;;;;;
968;759;12;Kontrollmätning med datainstrument inkl. dokumentation t.o.m. kat 6;;länk;0,11;;;;;;;;;
969;760;10;Ur-/inkoppling av sektion utan anmälan;;sektion;0,05;;;;;;;;;
970;760;11;Ur-/inkoppling av sektion med anmälan;;sektion;0,08;;;;;;;;;
971;760;12;Tillägg vid utökning/ändring i drift;;anläggning;0,19;;;;;;;;;
972;760;13;Registrering på boxkort (t.o.m. 20 klämmor/10-pars plint);;kort;0,27;;;;;;;;;
973;760;14;Nedt./återuppsättning ej skruvfastsatt kassett i undertak;;kassett;0,04;;;;;;;;;
974;760;21;Nedt./återuppsättning skruvfastsatta takplattor;;platta;0,12;;;;;;;;;
975;760;36;Fiskning i dörr/fönsterparti/profiler m.m.;;fiskning;0,2;;;;;;;;;
976;762;11;Uppringning teleledning/ledare;;uppringning;0,02;;;;;;;;;
977;762;12;Märka kabel/ledare märkbands/penna;;ledn.ände;0,01;;;;;;;;;
978;762;13;Märkhylsor max 10 mm – första hylsa;;första hylsa;0,01;;;;;;;;;
979;762;14;Tillkommande märkhylsor max 10 mm;;per hylsa;0,01;;;;;;;;;
980;762;15;Prefabricerad hylsa ≤25 mm;;per hylsa;0,03;;;;;;;;;
981;762;16;Tillägg prefabricerad hylsa >25 mm per 10 mm;;hylsa;0,01;;;;;;;;;
982;762;19;Texta kabelskylt;;skylt;0,01;;;;;;;;;
983;762;21;Märka kabel med kabelskylt;;skylt;0,01;;;;;;;;;
984;764;10;Sammanfoga ledare till stock + utplocka (bindgarn/plastband/tejp);;m stock;0,25;;;;;;;;;
985;776;10;Tillägg spec. svåråtkomligt/skymt inkopplingsställe;;inkoppling;0,02;;;;;;;;;
986;776;12;Montera skyddshylsa plast/gummi över anslutningsställe;;skyddshylsa;0,01;;;;;;;;;
987;776;35;Sätta motstånd/diod i apparat inkl. anslutning;;motstånd/diod;0,04;;;;;;;;;
988;776;37;Montera kretskort i apparat (exkl. anslutning);;kort;0,06;;;;;;;;;
989;776;39;Ansluta kretskort med snabbkoppling;;anslutning;0,01;;;;;;;;;
990;776;41;Adressera apparat;;adress;0,05;;;;;;;;;
991;778;10;Märkskylt ≤7×3 cm;;skylt;0,07;;;;;;;;;
992;778;11;Märkskylt/ram ≤21×30 cm;;skylt/ram;0,1;;;;;;;;;
993;778;15;Märka + montera signeringsskylt;;skylt;0,04;;;;;;;;;
994;778;20;Tillverka märkskylt m. elektronisk märkapparat + montera/tejp;;skyltlist;0,05;;;;;;;;;
995;778;21;Tillkapa skyltlist med kap- och håltång;;skyltlist;0,02;;;;;;;;;
996;800;10;Förläggning 10 mm YD;Instkanal/mark/öppen(-0)/ankarskena/stege(-1)/utvändigt synligt(-2);m rör;0,02;0,03;0,1;;;;;;;
997;800;11;Förläggning 16 mm YD;se ovan;m rör;0,03;0,03;0,1;;;;;;;
998;800;12;Förläggning 20 mm YD;se ovan;m rör;0,04;0,03;0,11;;;;;;;
999;800;13;Förläggning 24 mm YD;se ovan;m rör;0,05;0,04;0,13;;;;;;;
1000;800;14;Förläggning 28 mm YD;se ovan;m rör;0,06;0,04;0,14;;;;;;;
1001;800;15;Förläggning 32 mm YD;se ovan;m rör;0,07;0,05;0,15;;;;;;;
1002;800;16;Förläggning 36 mm YD;se ovan;m rör;0,08;0,06;0,16;;;;;;;
1003;800;17;Förläggning 40 mm YD;se ovan;m rör;0,09;0,07;0,17;;;;;;;
1004;801;10;Tillägg najning på stege;Horisontell/Vertikal;m rör;0,01;0,03;;;;;;;;
1005;802;10;Uppskalning rör ≤16 mm;Längd ≤1/1–2/2–3 m;rörände;0,09;0,12;0,15;;;;;;;
1006;802;11;Uppskalning rör ≤28 mm;Längd ≤1/1–2/2–3 m;rörände;0,1;0,14;0,18;;;;;;;
1007;802;12;Uppskalning rör ≤40 mm;Längd ≤1/1–2/2–3 m;rörände;0,11;0,16;0,22;;;;;;;
1008;803;10;Tillägg uppskalning metallmantlat rör;;m;0,04;;;;;;;;;
1009;805;10;Blåsa optofiber;;per 10 m;0,03;;;;;;;;;
1010;805;15;Skarva mikrokanal (fig.2);;skarv;0,05;;;;;;;;;
1011;805;20;Uppskalning optokabel;;m;0,06;;;;;;;;;
1012;805;21;Kapa + rengöra tub från gel;;tub;0,08;;;;;;;;;
1013;805;30;Terminera fibersvans (pigtail) ≤24 st/arbetsställe;;st;0,24;;;;;;;;;
1014;805;31;Terminera fibersvans (pigtail) >24 st/arbetsställe;;st;0,18;;;;;;;;;
1015;805;35;Tillägg skruvfast skarvstycke/adapter;;skarvstycke;0,02;;;;;;;;;
1016;805;36;Hopmontera fiberpanel;;panel;0,3;;;;;;;;;
1017;805;37;Montera panel i stativ;;panel;0,15;;;;;;;;;
1018;805;38;Montera uttagsbox (oavsett underlag);;box;0,1;;;;;;;;;
1019;805;40;DB-mätning av länk inkl. dokumentation;;länk;0,17;;;;;;;;;
1020;998;10;Vid uppsättning av enheter;Motordrivna/ej;arbetsställe;0,09;;;;;;;;;
1021;998;10;Vid uppsättning av enheter;Motordrivna fullt manövrerbara;arbetsställe;;0,06;;;;;;;;
1022;998;11;Vid uppsättning av sampelrör/opto.;Motordrivna/ej;m förläggn. sträcka;0,04;;;;;;;;;
1023;998;11;Vid uppsättning av sampelrör/opto.;Motordrivna fullt manövrerbara;m förläggn. sträcka;;0,03;;;;;;;;
1024;998;12;Vid håltagning;Motordrivna/ej;arbetsställe;0,09;;;;;;;;;
1025;998;12;Vid håltagning;Motordrivna fullt manövrerbara;arbetsställe;;0,06;;;;;;;;
